"","X","Animal.ID","Name","Found.Location","Intake.Type","Intake.Condition","Animal.Type","Sex.upon.Intake","Age.upon.Intake","Breed","Color","Intake.Date","Outcome.Subtype","Sex.upon.Outcome","Age.upon.Outcome","date.y","DOB","outcome","kitten","juvenile","young_adult","adult","old","multicolor","black","blue","brown","gray","orange","seal","silver","white","dom_short","dom_med","dom_long","siam","adopted","AgeDaysInt"
"9722",9722,"A702331","","7004 Shannon Dr in Austin (TX)","Stray","Normal","Cat","Unknown","1 day","Domestic Shorthair Mix","Black",2015-05-12,"Partner","Unknown","1 day",2015-05-12,2015-05-11,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",1
"9724",9724,"A702391","*Ms. Piggy","8515 S Ih 35 Frontage Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Black",2015-05-13,"","Spayed Female","2 months",2015-06-07,2015-03-29,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",45
"9725",9725,"A702397","Mary Anne","6509 Berkman Drive in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Blue Tabby/White",2015-05-13,"","Intact Female","2 months",2015-05-25,2015-03-22,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",52
"9728",9728,"A702394","Molly","6509 Berkman Drive in Austin (TX)","Stray","Normal","Cat","Intact Female","2 years","Domestic Shorthair Mix","Brown Tabby/White",2015-05-13,"","Spayed Female","2 years",2015-05-27,2013-05-13,"Adoption",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",730
"9735",9735,"A702438","*Jenny","6600 Elm Creek Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Tortie",2015-05-13,"Offsite","Spayed Female","2 months",2015-06-20,2015-04-10,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",33
"9736",9736,"A702421","*Folger","16006 Agua Vista in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Black/White",2015-05-13,"","Neutered Male","2 months",2015-07-09,2015-04-14,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",29
"9738",9738,"A702446","","1613 E M Franklin Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Brown Tabby/White",2015-05-13,"Partner","Intact Male","1 month",2015-05-14,2015-04-02,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",41
"9739",9739,"A702408","Clams","2101 Burton Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Tortie",2015-05-13,"","Spayed Female","2 months",2015-06-14,2015-04-06,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",37
"9743",9743,"A702442","*Jaime","6600 Elm Creek Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Cream Tabby",2015-05-13,"Offsite","Spayed Female","2 months",2015-06-20,2015-04-10,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",33
"9747",9747,"A702441","*Ninja","6600 Elm Creek Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Blue/White",2015-05-13,"Foster","Neutered Male","2 months",2015-06-23,2015-04-10,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",33
"9749",9749,"A702410","Miley","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","4 years","Domestic Shorthair Mix","Orange Tabby",2015-05-13,"","Spayed Female","4 years",2015-08-24,2011-05-13,"Adoption",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",1461
"9752",9752,"A702399","","6509 Berkman Drive in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Black/White",2015-05-13,"Partner","Intact Male","2 months",2015-05-25,2015-03-22,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",52
"9756",9756,"A702389","","6702 Isabelle Dr in Austin (TX)","Stray","Injured","Cat","Intact Female","2 years","Domestic Shorthair Mix","Black/White",2015-05-13,"Suffering","Intact Female","2 years",2015-05-13,2013-05-13,"Euthanasia",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",730
"9757",9757,"A702420","*Brinkley","16006 Agua Vista in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Orange Tabby/White",2015-05-13,"","Neutered Male","2 months",2015-07-08,2015-04-14,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",29
"9763",9763,"A702514","","9724 Sydney Marilyn in Austin (TX)","Stray","Normal","Cat","Intact Male","2 years","Domestic Shorthair Mix","Cream Tabby",2015-05-14,"SCRP","Intact Male","2 years",2015-05-15,2013-05-14,"Transfer",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",730
"9765",9765,"A702470","Dori","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","12 years","Domestic Shorthair Mix","Torbie",2015-05-14,"Partner","Spayed Female","12 years",2015-06-05,2003-05-14,"Transfer",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",4383
"9769",9769,"A702521","","1000 Vasquez St in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Blue",2015-05-14,"Partner","Intact Male","4 weeks",2015-05-15,2015-04-14,"Transfer",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",30
"9778",9778,"A702536","*Allie","8007 Caribou Parke Cove in Travis (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Black/White",2015-05-15,"","Spayed Female","2 months",2015-07-05,2015-04-15,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",30
"9780",9780,"A702523","","1701 S Congress in Austin (TX)","Stray","Injured","Cat","Intact Male","1 weeks","Domestic Shorthair Mix","Brown Tabby/Black",2015-05-15,"Partner","Intact Male","1 weeks",2015-05-15,2015-05-03,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",12
"9790",9790,"A702538","*Adam","8007 Caribou Parke Cove in Travis (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Medium Hair Mix","Brown Tabby",2015-05-15,"Foster","Neutered Male","2 months",2015-07-01,2015-04-15,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"1",30
"9792",9792,"A702540","","2504 Huntwick Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","5 months","Domestic Medium Hair Mix","Brown Tabby/White",2015-05-15,"SCRP","Intact Female","5 months",2015-05-16,2014-11-15,"Transfer",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0",181
"9794",9794,"A702539","*Annie","8007 Caribou Parke Cove in Travis (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Medium Hair Mix","Black",2015-05-15,"","Spayed Female","2 months",2015-07-11,2015-04-15,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"1",30
"9796",9796,"A702565","Bandit","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","6 years","Domestic Shorthair Mix","Black/White",2015-05-15,"","Neutered Male","6 years",2015-05-17,2009-05-15,"Adoption",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",2191
"9798",9798,"A702561","*Robin","12505 Utah Cir in Travis (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Brown Tabby",2015-05-15,"Foster","Neutered Male","2 months",2015-06-30,2015-04-15,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",30
"9802",9802,"A702694","","9306 Old Manor Road in Travis (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Tortie",2015-05-16,"Partner","Unknown","2 weeks",2015-05-16,2015-05-01,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",15
"9803",9803,"A702630","*Swirly Girl","303 W. Mlk in Austin (TX)","Stray","Injured","Cat","Intact Female","3 months","Domestic Shorthair Mix","Tortie",2015-05-16,"Suffering","Intact Female","4 months",2015-05-20,2015-01-16,"Euthanasia",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",120
"9806",9806,"A702660","*Daisy","10600 Old Lockhart Rd in Travis (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Black",2015-05-16,"Foster","Spayed Female","1 year",2015-07-18,2014-05-16,"Adoption",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",365
"9808",9808,"A702634","Hillery","1408 Valleyridge Drive in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Siamese","Seal Point",2015-05-16,"Partner","Intact Female","3 weeks",2015-05-17,2015-04-22,"Transfer",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"0",24
"9810",9810,"A702639","Kiki","501 Tech Ridge Blvd in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","Brown Tabby/White",2015-05-16,"Foster","Spayed Female","2 months",2015-06-24,2015-04-23,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",23
"9813",9813,"A702640","","501 Tech Ridge Blvd in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","Orange Tabby/White",2015-05-16,"Foster","Spayed Female","2 months",2015-06-27,2015-04-23,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",23
"9814",9814,"A702626","","501 Tech Ridge Blvd in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Brown Tabby",2015-05-16,"Foster","Neutered Male","2 months",2015-06-27,2015-04-23,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",23
"9817",9817,"A702645","Molly","10600 Old Lockhart Rd in Travis (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Blue",2015-05-16,"","Spayed Female","1 year",2015-07-20,2014-05-16,"Adoption",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",365
"9818",9818,"A702686","","1403 Marcus Pl in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Black",2015-05-16,"Partner","Unknown","2 weeks",2015-05-16,2015-05-01,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",15
"9821",9821,"A702693","","9306 Old Manor Road in Travis (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Orange Tabby",2015-05-16,"Partner","Unknown","2 weeks",2015-05-16,2015-05-01,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",15
"9822",9822,"A702636","Charlie","1408 Valleyridge Drive in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Siamese","Seal Point",2015-05-16,"Partner","Intact Male","3 weeks",2015-05-17,2015-04-22,"Transfer",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"0",24
"9827",9827,"A702635","Tycho","1408 Valleyridge Drive in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Siamese","Seal Point",2015-05-16,"Partner","Intact Male","3 weeks",2015-05-17,2015-04-22,"Transfer",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"0",24
"9830",9830,"A702608","*Emily","Linton Dr And Calico Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Tortie",2015-05-16,"Foster","Spayed Female","3 months",2015-07-19,2015-04-15,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",31
"9837",9837,"A702750","","19379 Wilkey Lane in Pflugerville (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Orange Tabby",2015-05-17,"Partner","Unknown","2 weeks",2015-05-17,2015-05-02,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",15
"9853",9853,"A702771","Ginger","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","3 years","Domestic Shorthair Mix","Torbie",2015-05-17,"","Spayed Female","3 years",2015-05-19,2011-11-17,"Return to Owner",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",1277
"9855",9855,"A702756","","6405 Nasoni Cv in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","White/Brown Tabby",2015-05-17,"Suffering","Intact Male","3 weeks",2015-05-17,2015-04-25,"Euthanasia",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",22
"9857",9857,"A702761","","2809 Summit Heights Ct in Pflugerville (TX)","Stray","Normal","Cat","Unknown","3 weeks","Domestic Shorthair Mix","Black",2015-05-17,"Partner","Unknown","3 weeks",2015-05-17,2015-04-25,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",22
"9860",9860,"A702785","*Wolfie","1900 Santa Clara St in Austin (TX)","Stray","Normal","Cat","Neutered Male","1 year","Siamese Mix","Seal Point",2015-05-17,"","Neutered Male","1 year",2015-06-30,2014-05-17,"Adoption",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"1",365
"9863",9863,"A702775","","9070 Research Blvd in Austin (TX)","Stray","Normal","Cat","Intact Male","10 years","Domestic Shorthair Mix","White",2015-05-17,"Suffering","Intact Male","10 years",2015-05-17,2005-05-17,"Euthanasia",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",3652
"9866",9866,"A702735","Spartacus","2600 Gracy Farms Ln in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Orange Tabby/White",2015-05-17,"Partner","Intact Male","4 weeks",2015-05-18,2015-04-17,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",30
"9869",9869,"A702762","","2809 Summit Heights Ct in Pflugerville (TX)","Stray","Normal","Cat","Unknown","3 weeks","Domestic Shorthair Mix","Brown Tabby/White",2015-05-17,"Partner","Unknown","3 weeks",2015-05-17,2015-04-25,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",22
"9871",9871,"A702800","","11123 Old Lockhart Rd in Austin (TX)","Stray","Nursing","Cat","Intact Male","1 day","Domestic Shorthair Mix","Blue Tabby/White",2015-05-18,"Foster","Neutered Male","3 months",2015-09-10,2015-05-17,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",1
"9872",9872,"A702801","","10600 Old Lockhart Rd in Travis (TX)","Stray","Nursing","Cat","Intact Female","1 day","Domestic Shorthair Mix","Black",2015-05-18,"Foster","Spayed Female","2 months",2015-07-18,2015-05-17,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",1
"9873",9873,"A702819","","1663 Chippeway Lane in Austin (TX)","Stray","Normal","Cat","Unknown","1 weeks","Domestic Shorthair Mix","Blue Tabby/White",2015-05-18,"Suffering","Unknown","1 weeks",2015-05-18,2015-05-10,"Euthanasia",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",8
"9875",9875,"A702853","Emilio","10909 Gaillardia in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair Mix","Orange Tabby",2015-05-18,"","Neutered Male","2 months",2015-05-22,2015-03-03,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",76
"9882",9882,"A702841","*Fluff","3721 Rr North 620 in Austin (TX)","Stray","Sick","Cat","Intact Male","4 weeks","Domestic Shorthair","Brown Tabby",2015-05-18,"Foster","Neutered Male","3 months",2015-07-31,2015-04-18,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",30
"9884",9884,"A702825","Benny","124 West Anderson Lane in Austin (TX)","Stray","Normal","Cat","Neutered Male","7 years","Domestic Shorthair Mix","Black",2015-05-18,"","Neutered Male","7 years",2015-05-20,2008-05-18,"Return to Owner",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",2556
"9888",9888,"A702820","","1663 Chippeway Lane in Austin (TX)","Stray","Normal","Cat","Unknown","1 weeks","Domestic Shorthair Mix","Blue Tabby/White",2015-05-18,"Suffering","Unknown","1 weeks",2015-05-18,2015-05-10,"Euthanasia",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",8
"9890",9890,"A702849","Autumn","10909 Gaillardia in Austin (TX)","Stray","Normal","Cat","Intact Female","2 months","Domestic Shorthair Mix","Calico",2015-05-18,"","Spayed Female","2 months",2015-05-22,2015-03-03,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",76
"9895",9895,"A702880","Tom","2506 Howellwood Way in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Medium Hair Mix","Calico",2015-05-18,"","Spayed Female","2 months",2015-06-28,2015-04-27,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"1",21
"9902",9902,"A702826","","11716 Birchmark Trail in Austin (TX)","Stray","Other","Cat","Intact Female","3 years","Domestic Shorthair Mix","Cream",2015-05-18,"Partner","Intact Female","3 years",2015-05-23,2012-05-18,"Transfer",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0",1095
"9903",9903,"A702863","","10516 Jones Road in Manor (TX)","Stray","Normal","Cat","Intact Male","2 years","Domestic Shorthair Mix","Orange Tabby",2015-05-18,"SCRP","Intact Male","2 years",2015-05-19,2013-05-18,"Transfer",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",730
"9904",9904,"A702804","","3Rd St E & Tillery Square in Austin (TX)","Stray","Normal","Cat","Neutered Male","1 month","Domestic Shorthair Mix","Brown Tabby/White",2015-05-18,"Foster","Neutered Male","5 months",2015-09-19,2015-03-30,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",49
"9906",9906,"A702838","*Runah","3721 Rr North 620 in Austin (TX)","Stray","Sick","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Brown Tabby/White",2015-05-18,"Foster","Spayed Female","4 months",2015-09-08,2015-04-18,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",30
"9915",9915,"A702796","*Stan","11123 Old Lockhart Rd in Austin (TX)","Stray","Nursing","Cat","Intact Male","1 day","Domestic Shorthair Mix","Brown Tabby",2015-05-18,"","Neutered Male","3 months",2015-09-12,2015-05-17,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",1
"9916",9916,"A702984","","19211 Blake Manor Rd in Manor (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Shorthair Mix","Black",2015-05-19,"SCRP","Intact Male","1 year",2015-05-20,2014-05-19,"Transfer",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",365
"9919",9919,"A702973","","Riverside And Wickersham in Austin (TX)","Stray","Normal","Cat","Unknown","3 weeks","Domestic Shorthair Mix","Black/White",2015-05-19,"Partner","Unknown","3 weeks",2015-05-19,2015-04-27,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",22
"9930",9930,"A702992","*Cloud","19211 Blake Manor Rd in Manor (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Medium Hair Mix","Brown Tabby",2015-05-19,"Partner","Neutered Male","2 months",2015-07-02,2015-04-04,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0",45
"9936",9936,"A702921","Agatha","8701 W Parmer Ln in Austin (TX)","Stray","Normal","Cat","Spayed Female","1 year","Domestic Shorthair Mix","Brown Tabby",2015-05-19,"","Spayed Female","1 year",2015-05-24,2014-05-19,"Adoption",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",365
"9939",9939,"A702946","","7019 Colony Loop in Austin (TX)","Stray","Normal","Cat","Unknown","2 days","Domestic Shorthair Mix","Brown Tabby/White",2015-05-19,"Partner","Unknown","2 days",2015-05-19,2015-05-17,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",2
"9941",9941,"A702963","","5330 N Ih 35 in Austin (TX)","Stray","Normal","Cat","Unknown","2 years","Domestic Shorthair Mix","Blue Tabby/White",2015-05-19,"SCRP","Unknown","2 years",2015-05-20,2013-05-19,"Transfer",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",730
"9947",9947,"A702958","*Mouse","51St And Burkman in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Medium Hair Mix","Brown Tabby",2015-05-19,"Partner","Intact Male","1 month",2015-05-25,2015-04-04,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0",45
"9948",9948,"A702990","Anasa","19211 Blake Manor Rd in Manor (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Torbie",2015-05-19,"","Intact Female","2 months",2015-06-14,2015-04-04,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",45
"9950",9950,"A702908","","8714 Fm 812 in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Blue",2015-05-19,"Partner","Intact Male","4 weeks",2015-05-19,2015-04-19,"Transfer",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",30
"9955",9955,"A702934","Sunkist","402 W 45Th St in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Medium Hair Mix","Orange Tabby/White",2015-05-19,"Foster","Neutered Male","3 months",2015-07-24,2015-04-12,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"1",37
"9957",9957,"A702932","Pepper","402 W 45Th St in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Calico",2015-05-19,"Foster","Spayed Female","3 months",2015-07-24,2015-04-12,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",37
"9960",9960,"A702986","*Bonita","19211 Blake Manor Rd in Manor (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Brown Tabby",2015-05-19,"Partner","Spayed Female","3 months",2015-07-04,2015-04-01,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",48
"9967",9967,"A702968","*Betsy","5504 Ledesma Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","Brown Tabby",2015-05-19,"Partner","Intact Female","3 weeks",2015-05-22,2015-04-27,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",22
"9969",9969,"A702966","*Baxter","5504 Ledesma Rd in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Brown Tabby",2015-05-19,"Partner","Intact Male","3 weeks",2015-05-22,2015-04-27,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",22
"9974",9974,"A703103","*Sophie","906 W Milton St in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Blue Tabby/White",2015-05-20,"Foster","Spayed Female","2 months",2015-06-19,2015-03-25,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",56
"9975",9975,"A703075","","2817 E 5Th St in Austin (TX)","Stray","Sick","Cat","Intact Male","2 weeks","Domestic Shorthair Mix","Black/White",2015-05-20,"Suffering","Intact Male","2 weeks",2015-05-20,2015-05-05,"Euthanasia",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",15
"9976",9976,"A703139","*Ninja","6705 Covered Bridge Dr in Austin (TX)","Stray","Injured","Cat","Intact Male","1 month","Domestic Shorthair Mix","Orange Tabby/White",2015-05-20,"","Neutered Male","2 months",2015-06-08,2015-03-30,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",51
"9977",9977,"A703072","","2817 E 5Th St in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","Tortie",2015-05-20,"Partner","Intact Female","3 weeks",2015-05-21,2015-04-28,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",22
"9981",9981,"A703069","*Roger","1405 E M Franklin Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Siamese Mix","Lilac Point",2015-05-20,"Foster","Neutered Male","2 months",2015-07-14,2015-04-28,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1",22
"9993",9993,"A703126","*Mia","2628 Alcott Ln in Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Tortie",2015-05-20,"Foster","Spayed Female","3 months",2015-08-15,2015-04-20,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",30
"9994",9994,"A703056","*Heathcliff","6575 Decker Ln in Travis (TX)","Public Assist","Normal","Cat","Intact Male","1 year","Domestic Shorthair Mix","Orange/White",2015-05-20,"Partner","Neutered Male","1 year",2015-06-06,2014-05-20,"Transfer",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",365
"9995",9995,"A703095","Uh-Oh Calico","1941 Gaston Pl in Austin (TX)","Stray","Injured","Cat","Intact Female","2 months","Domestic Shorthair Mix","Calico",2015-05-20,"Foster","Spayed Female","4 months",2015-07-18,2015-03-15,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",66
"10021",10021,"A703185","Sonny","7711 Mullen in Austin (TX)","Stray","Normal","Cat","Intact Male","1 weeks","Domestic Shorthair Mix","Brown Tabby/White",2015-05-21,"","Neutered Male","2 months",2015-07-18,2015-05-08,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",13
"10031",10031,"A703220","*Miles","817 W Fm 1626 in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair Mix","Blue Tabby/White",2015-05-21,"Partner","Intact Male","2 months",2015-05-29,2015-03-15,"Transfer",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",67
"10032",10032,"A703190","","14611 Burnet Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","Brown Tabby",2015-05-21,"Partner","Intact Female","3 weeks",2015-05-21,2015-04-27,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",24
"10033",10033,"A695771","Fox","2300 Turtle Mountain in Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","9 months","Domestic Shorthair Mix","Blue/White",2015-05-21,"Partner","Neutered Male","10 months",2015-05-25,2014-07-22,"Transfer",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",303
